Offer_Score,Claim_Amt,Current_Premium,Car_Price,LoanReason,JobType,Car_Age,DerogatoryMarks,Delinquencies,CredLineAge,Inquiries,CredLines,Rating_Category,CustID
1,1300,70053,68400,HomeImp,Other,7,0,2,121.8333333,0,14,,AUS00011
0,1700,97800,112000,HomeImp,Office,3,0,0,93.33333333,0,14,,AUS00013
1,1700,30548,40320,HomeImp,Other,9,0,0,101.4660019,1,8,37.11361356,AUS00022
1,2000,22608,,,,18,,,,,,,AUS00041
1,2000,45000,55000,HomeImp,Other,3,0,0,86.06666667,2,25,,AUS00072
1,2100,71000,83850,HomeImp,Other,8,0,1,123,0,16,,AUS00074
1,2200,23030,,,,19,,,,,,3.7113123,AUS00077
1,2300,28192,40150,HomeImp,Other,4.5,0,0,54.6,1,16,,AUS00098
1,2300,37626,46200,HomeImp,Other,3,0,1,122.2666667,1,14,,AUS00163
1,2400,34863,47471,HomeImp,Mgr,12,0,0,70.49108003,1,21,38.26360073,AUS00260
0,2400,98449,117195,HomeImp,Office,4,0,0,93.81177486,0,13,29.68182705,AUS00423
0,2500,71408,78600,HomeImp,ProfExe,8,0,0,255.7333333,0,12,,AUS00425
1,2800,4000,60850,HomeImp,Other,16,4,0,112.6333333,2,9,,AUS00482
1,2900,78600,113000,DebtCon,ProfExe,6,1,0,165.3333333,2,26,,AUS00505
0,3000,104570,121729,HomeImp,Office,2,0,0,85.8843719,0,14,32.05978327,AUS00514
1,3000,,33000,HomeImp,Other,1,0,1,23.3,1,2,,AUS00522
1,3000,20000,29750,DebtCon,Other,2,0,0,187.0666667,0,12,,AUS00533
1,3000,,14500,HomeImp,Other,3,0,0,9.3,14,2,,AUS00561
0,3100,,70400,,,,,,,,,,AUS00562
1,3200,23159,,HomeImp,Mgr,20,,2,117.8057478,0,9,0.524499215,AUS00630
1,3600,61584,61800,HomeImp,ProfExe,10,,,,,,,AUS00665
1,3600,41900,52490,HomeImp,Mgr,3,0,0,72.03333333,2,4,,AUS00682
0,3600,61327,76484,HomeImp,Mgr,9,,2,202.5107752,0,25,41.5163897,AUS00692
0,3600,100693,114743,HomeImp,Office,6,0,0,88.47045214,0,14,29.39354338,AUS00693
1,3800,19135,97692,HomeImp,Mgr,1.6,1,6,252.6333333,1,25,,AUS00710
1,3900,29896,45960,HomeImp,Other,11,0,0,146.1232422,0,14,24.47888119,AUS00733
1,4000,17000,52012,HomeImp,ProfExe,22,3,1,85.33333333,1,9,,AUS00733
1,4000,41700,76725,HomeImp,Other,0.5,0,3,136.1333333,0,15,,AUS00765
1,4000,58000,69440,HomeImp,Other,3.5,0,1,168.6666667,0,18,,AUS00773
0,4000,66000,79050,HomeImp,Other,1.8,2,0,279,1,6,,AUS00787
1,4000,74000,93000,HomeImp,ProfExe,2.6,1,3,186.6333333,,9,,AUS00820
1,4100,58500,65000,HomeImp,Other,8,1,2,63.93333333,2,15,,AUS00873
0,4100,57992,63797,DebtCon,ProfExe,7,0,4,165.505037,1,31,22.27817437,AUS00877
0,4200,56544,59218,HomeImp,Office,19,0,0,211.0025991,1,20,19.02770443,AUS00925
0,4200,50216,58541,HomeImp,Office,19,0,0,209.8713022,0,19,20.20803267,AUS00930
0,4300,68815,79852,HomeImp,Other,6,0,0,105.1207088,0,14,41.80637615,AUS00936
0,4400,53969,63869,DebtCon,ProfExe,7,0,3,162.3900107,0,30,23.58107924,AUS00984
1,4400,53091,64074,DebtCon,Office,14,1,3,89.86105825,0,17,39.15808483,AUS00995
0,4500,,77182,,,,,,,,,25.2272529,AUS01024
0,4500,71082,79247,HomeImp,Other,4,0,0,118.7604101,0,14,41.42111052,AUS01045
1,4500,34184,46000,HomeImp,Mgr,3.5,0,1,122.6,2,22,,AUS01107
1,4500,66517,87000,DebtCon,ProfExe,10,0,4,125.8,0,34,,AUS01162
1,4500,118000,146870,HomeImp,ProfExe,4.5,2,0,203.8666667,1,20,,AUS01233
0,4700,53918,59511,DebtCon,,6,,0,54.13647743,,15,34.41650781,AUS01248
1,4700,26900,45000,HomeImp,ProfExe,9,1,2,90.46666667,1,16,,AUS01322
0,4900,65873,90408,,Mgr,2,0,0,141.858999,0,23,37.76961861,AUS01366
1,4900,25597,23031,HomeImp,Other,5,0,0,101.7467664,0,8,33.24315698,AUS01445
1,4900,44000,59745,HomeImp,Other,10,0,0,81.5,3,13,,AUS01499
0,4900,170986,245300,DebtCon,Sales,,0,0,131.9333333,0,22,,AUS01548
0,4900,57461,68494,DebtCon,ProfExe,8,0,4,183.6356132,0,30,22.79542355,AUS01575
0,5000,47479,61690,DebtCon,,5,,0,65.03296901,,16,36.69941492,AUS01611
0,5000,12457,53448,HomeImp,Self,,0,0,207.1434813,0,12,44.10795169,AUS01628
1,5000,22320,34900,HomeImp,Other,10,0,0,65.7,1,5,,AUS01632
